keyword,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,tot_cnt,slope
여주시,38.02281368821293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75041876046901,17.301038062283737,0.0,15.151515151515152,0.0,0.0,0.0,0.0,0.0,10.75268817204301,0.0,0.0,0.0,0.0,0.0,0.0,13.550135501355014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.19738866567996352
여주,38.02281368821293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75041876046901,17.301038062283737,0.0,15.151515151515152,0.0,0.0,85.34850640113798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.550135501355014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-0.21529239119622517
공동체,114.06844106463879,15.432098765432098,29.154518950437318,0.0,0.0,23.201856148491878,30.581039755351682,366.19718309859155,25.0,16.31321370309951,32.78688524590164,67.00167504187604,121.10726643598616,66.00660066006601,0.0,42.28329809725159,82.3045267489712,0.0,35.37735849056604,15.151515151515152,0.0,41.0958904109589,9.174311926605505,0.0,40.59539918809202,25.06265664160401,14.204545454545455,67.75067750677506,0.0,65.57377049180327,86.50519031141869,20.61855670103093,14.104372355430183,21.367521367521366,47.39336492890995,55.55555555555556,89.0,-0.9250772143353648
1위,38.02281368821293,0.0,0.0,0.0,0.0,0.0,0.0,140.8450704225352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.28329809725159,0.0,0.0,11.79245283018868,0.0,0.0,0.0,0.0,0.0,13.531799729364005,0.0,14.204545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777777777778,17.0,-0.39878456939324763
지자체,38.02281368821293,0.0,29.154518950437318,36.231884057971016,0.0,23.201856148491878,61.162079510703364,0.0,50.0,0.0,16.39344262295082,0.0,17.301038062283737,0.0,30.303030303030305,21.141649048625794,20.5761316872428,42.67425320056899,0.0,30.303030303030305,53.763440860215056,27.397260273972602,0.0,40.4040404040404,27.06359945872801,0.0,14.204545454545455,27.100271002710027,37.59398496240601,0.0,17.301038062283737,20.61855670103093,0.0,85.47008547008546,23.696682464454977,55.55555555555556,46.0,0.2803521824977534
행복론,38.02281368821293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.17127393553249068
일자리,114.06844106463879,46.2962962962963,87.46355685131195,36.231884057971016,103.09278350515464,116.0092807424594,198.77675840978594,28.169014084507044,100.0,97.87928221859707,49.18032786885246,134.00335008375208,86.50519031141869,132.01320132013203,60.60606060606061,63.424947145877375,102.88065843621399,14.22475106685633,47.16981132075472,0.0,21.50537634408602,13.698630136986301,18.34862385321101,40.4040404040404,67.65899864682002,125.31328320802005,71.02272727272727,54.200542005420054,56.390977443609025,0.0,69.20415224913495,20.61855670103093,141.04372355430183,42.73504273504273,23.696682464454977,83.33333333333333,131.0,-1.4074217723662383
경기도,38.02281368821293,0.0,0.0,0.0,0.0,23.201856148491878,91.74311926605505,0.0,25.0,0.0,16.39344262295082,117.25293132328308,34.602076124567475,66.00660066006601,90.9090909090909,63.424947145877375,41.1522633744856,184.9217638691323,141.50943396226415,15.151515151515152,53.763440860215056,0.0,9.174311926605505,20.2020202020202,27.06359945872801,0.0,56.81818181818182,27.100271002710027,37.59398496240601,32.78688524590164,51.90311418685121,0.0,28.208744710860366,21.367521367521366,47.39336492890995,0.0,84.0,-0.0030739503808388333
농촌신활력플러스,38.02281368821293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.17127393553249068
이항진,38.02281368821293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.17127393553249068
양동민,38.02281368821293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.06265664160401,0.0,13.550135501355014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.08975624902672419
농축산물,38.02281368821293,0.0,0.0,0.0,0.0,23.201856148491878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.06265664160401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.19754247531218655
한국고용정보원,38.02281368821293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.25285481239804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.3140407993434001
